Project,EQID,Earthquake Name,Moment Magnitude,Magnitude Type,YEAR,MODY,HRMN,Finite Fault Flag,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Total Fault Length (km),Total Fault Width (km),Total Rectangular Fault Area (km*km),Number of fault rectangular segments,Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner (ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km)
NGAW2,196,"Friuli (aftershock 5), Italy",4.7,Mw,1976,611,1716,0,46.23,13,9,2.7,2.3,6.1,1,1,310.8,40,2.7,2.3,90,46.2191,12.9989,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,197,"Friuli (aftershock 6), Italy",5.2,Mw,1976,617,1428,0,46.18,12.8,15,3.6,5,18,1,1,253.6,40,3.6,5,90,46.1817,12.8249,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,198,"Friuli (aftershock 7), Italy",3.9,Mw,1976,907,1108,0,46.3,13,5,0.7,0.9,0.6,1,1,133.7,40,0.7,0.9,90,46.3035,13.0045,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,199,"Friuli (aftershock 9), Italy",5.5,Mw,1976,911,1635,0,46.277,13.175,12,4.7,3.3,15.5,1,1,243.4,40,4.7,3.3,90,46.2737,13.205,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,200,"Friuli (aftershock 10), Italy",4.8,Mw,1976,913,1854,0,46.306,13.146,8,2.4,3,7.1,1,1,219.7,40,2.4,3,90,46.3116,13.1796,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,201,"Calabria, Italy",5.2,Mw,1978,311,1920,0,38.02,16.03,15,4.8,2.9,13.9,1,1,141.2,55,4.8,2.9,-90,38.0591,16.0114,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,202,"Basso Tirreno, Italy",6,Mw,1978,415,2333,0,38.27,14.86,15,8.9,5.9,52.4,1,1,130.8,90,8.9,5.9,0,38.3004,14.8151,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,205,"Umbria-01, Italy",4.1,ML,1979,921,52,0,42.8,12.99,10,1.4,1.6,2.2,1,1,234.2,55,1.4,1.6,-90,42.7995,12.9993,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,206,"Umbria-02, Italy",3.7,ML,1979,928,441,0,42.75,13.1,5,1,2.1,2,1,1,232.7,55,1,2.1,-90,42.7469,13.1164,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,208,"W of Cosenza, Italy",4.2,ML,1980,220,234,0,39.283,16.15,12,2.7,1.9,4.9,1,1,44.5,55,2.7,1.9,-90,39.2761,16.127,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,212,"Campano Lucano (aftershock 9), Italy",4.9,ML,1980,1124,24,0,40.833,15.283,18,2.3,2.4,5.6,1,1,98,55,2.3,2.4,-90,40.8451,15.2741,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,213,"Campano Lucano (aftershock 1), Italy",4.6,ML,1980,1124,303,0,40.89,15.31,21,1.9,2.9,5.7,1,1,93.9,55,1.9,2.9,-90,40.8982,15.3002,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,214,"Campano Lucano (aftershock 2), Italy",4,ML,1980,1125,2153,0,41.1,15.27,32,0.7,1.3,0.9,1,1,352.5,55,0.7,1.3,-90,41.0964,15.2643,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,215,"Campano Lucano (aftershock 3), Italy",4.5,ML,1980,1126,1455,0,40.95,15.33,24,2.7,2,5.5,1,1,93.3,55,2.7,2,-90,40.9609,15.3047,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,217,"Campano Lucano (aftershock 10), Italy",4.5,ML,1980,1130,741,0,40.766,15.35,19,2,1.6,3.2,1,1,147.9,55,2,1.6,-90,40.7802,15.3509,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,218,"Campano Lucano (aftershock 4), Italy",4.6,ML,1980,1201,1904,0,40.83,15.23,9,2.6,3.2,8.3,1,1,340.2,55,2.6,3.2,-90,40.8113,15.2191,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,219,"Campano Lucano (aftershock 6), Italy",4,ML,1981,116,436,0,40.98,15.23,5,1.1,1.1,1.2,1,1,238.2,55,1.1,1.1,-90,40.9766,15.2344,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,220,"Campano Lucano (aftershock 7), Italy",4,ML,1981,116,631,0,40.87,15.27,4,1.7,0.9,1.5,1,1,266.5,55,1.7,0.9,-90,40.8661,15.2807,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,221,"Campano Lucano (aftershock 8), Italy",4.9,ML,1981,214,1727,0,41,14.67,10,2.6,1.4,3.6,1,1,63,55,2.6,1.4,-90,41.0006,14.6517,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,224,"Umbria-03, Italy",5.6,Mw,1984,429,502,0,43.204,12.585,9,6.1,4.2,25.6,1,1,100.4,55,6.1,4.2,-90,43.2262,12.5793,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,225,"Lazio Abruzzo (aftershock 1), Italy",5.5,Mw,1984,511,1041,0,41.7318,13.9208,8,3.9,3.7,14.3,1,1,273,55,3.9,3.7,-90,41.7128,13.9515,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,226,"Lazio Abruzzo (aftershock 2, Italy",4.8,Mw,1984,511,1314,0,41.733,13.901,11,1.4,3.3,4.8,1,1,58.8,55,1.4,3.3,-90,41.7414,13.8808,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,231,"Potenza, Italy",5.8,Mw,1990,505,721,0,40.644,15.875,8,6.2,4.3,26.9,1,1,347.3,90,6.2,4.3,0,40.6033,15.8871,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,232,"Sicilia-Orientale, Italy",5.6,Mw,1990,1213,24,0,37.33,15.28,5,11.1,8.2,91.8,1,1,257.7,90,11.1,8.2,0,37.3469,15.3781,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,233,"Umbria Marche (foreshock), Italy",5.7,Mw,1997,926,33,0,43.023,12.892,7,5.5,5.2,28.6,1,1,139,55,5.5,5.2,-90,43.0471,12.8978,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,234,"Umbria Marche, Italy",6,Mw,1997,926,940,0,43.031,12.862,6,7.1,13.3,94.2,1,1,326,55,7.1,13.3,-90,42.9771,12.8495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,235,"Umbria Marche (aftershock 3), Italy",5.3,Mw,1997,1003,855,0,43.033,12.838,6,3,3.7,11.3,1,1,95.9,55,3,3.7,-90,43.0493,12.825,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,236,"Umbria Marche (aftershock 4), Italy",4.7,Mw,1997,1004,1613,0,42.933,12.936,2,3.2,3.2,10.3,1,1,182.5,55,3.2,3.2,-90,42.9452,12.9519,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,237,Umbria Marche (aftershock 1). Italy,5.5,Mw,1997,1006,2324,0,43.019,12.838,7,6.5,4.8,31.2,1,1,39.3,55,6.5,4.8,-90,43.0036,12.7896,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,238,"Umbria Marche (aftershock 5), Italy",4.2,Mw,1997,1007,124,0,43.01,12.783,10,1.3,1.4,1.9,1,1,184.1,55,1.3,1.4,-90,43.0155,12.7908,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,239,"Umbria Marche (aftershock 6), Italy",4.5,Mw,1997,1007,509,0,43.025,12.865,3,1,1.5,1.5,1,1,99.5,90,1,1.5,0,43.0258,12.8583,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,240,"Umbria Marche (aftershock 7), Italy",4.3,ML,1997,1011,320,0,42.975,12.787,10,1.4,1.3,1.8,1,1,68.4,55,1.4,1.3,-90,42.9769,12.7729,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,241,"Umbria Marche (aftershock 8), Italy",5.2,Mw,1997,1012,1108,0,42.91,12.946,6,4.4,2,8.7,1,1,334.5,55,4.4,2,-90,42.8911,12.9489,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,243,"Umbria Marche (aftershock 2), Italy",5.6,Mw,1997,1014,1523,0,42.919,12.926,7,5.6,6.4,36,1,1,5.4,55,5.6,6.4,-90,42.8921,12.8928,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,244,"Umbria Marche (aftershock 10), Italy",4.3,ML,1997,1014,2323,0,42.927,12.857,10,1.5,1,1.5,1,1,69.5,55,1.5,1,-90,42.9301,12.8512,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,245,"Umbria Marche (aftershock 11), Italy",4.6,Mw,1997,1016,1200,0,43.034,12.891,2,1.8,1.3,2.2,1,1,111.7,90,1.8,1.3,0,43.0356,12.8855,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,246,"Umbria Marche (aftershock 12), Italy",4.6,ML,1997,1108,1531,0,42.901,12.939,10,2.8,1.7,4.9,1,1,339.6,55,2.8,1.7,-90,42.8802,12.9367,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,247,"Umbria Marche (aftershock 13), Italy",4.9,Mw,1997,1109,1907,0,42.854,13,2,2.3,3.7,8.6,1,1,16.6,55,2.3,3.7,-90,42.8427,12.9775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,248,"Umbria Marche (aftershock 14), Italy",4.1,ML,1997,1201,2237,0,42.867,12.975,10,0.9,1.1,1,1,1,3.2,55,0.9,1.1,-90,42.8627,12.9678,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,249,"Umbria Marche (aftershock 15), Italy",5,Mw,1998,321,1645,0,42.958,12.879,10,2.3,2.8,6.3,1,1,342.5,55,2.3,2.8,-90,42.9431,12.8683,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,250,"Umbria Marche (aftershock 16), Italy",5.4,Mw,1998,326,1626,0,43.238,12.931,41,4,3.7,14.7,1,1,288.7,55,4,3.7,-90,43.2204,12.9284,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,251,"Umbria Marche (aftershock 17), Italy",5.1,Mw,1998,403,726,0,43.2,12.79,6,4,2.5,10,1,1,266,55,4,2.5,-90,43.1889,12.8018,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,252,"Umbria Marche (aftershock 18), Italy",4.8,Mw,1998,405,1552,0,43.185,12.719,10,2.2,2.1,4.7,1,1,127.4,55,2.2,2.1,-90,43.1956,12.7217,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,259,"Toscana, Italy",4.1,ML,1980,607,1835,0,44.08,10.65,30,1.3,1.7,2.2,1,1,265,40,1.3,1.7,90,44.0718,10.6563,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,262,"Montenegro, Yugoslavia",7.1,Mw,1979,415,619,1,42.04,19.21,7,54,34,1837,1,1,300,14,54,34,88,41.9073,19.1907,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,274,"L'Aquila, Italy",6.3,Mw,2009,406,133,1,42.3476,13.38,9.3,20,16,320,1,1,139,48,20,16,-98,42.4371,13.3976,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,275,"L'Aquila (aftershock 1), Italy",5.6,Mw,2009,407,1747,0,42.275,13.464,15.1,6.8,6.6,44.8,1,1,105,53,6.8,6.6,-134,42.3143,13.4466,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,276,"L'Aquila (aftershock 2), Italy",5.4,Mw,2009,409,52,0,42.484,13.343,15.4,5.3,4.9,26.2,1,1,136,46,5.3,4.9,-99,42.5233,13.349,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,277,"Wenchuan, China",7.9,Mw,2008,512,-999,1,30.986,103.364,10,150,45,6749.8,1,1,228,35,150,45,110,31.707,104.5163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,278,"Chuetsu-Oki, Japan",6.8,Mw,2007,716,1013,1,37.5382,138.6174,9,32,24,768.2,1,1,34,36,32,24,90,37.3849,138.3771,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,279,"Iwate, Japan",6.9,Mw,2008,613,2343,1,39.027,140.878,6.5,40,18,720.6,1,1,209,40,40,18,104,39.1462,141.0546,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,280,"El Mayor-Cucapah, Mexico",7.2,Mw,2010,404,2240,1,32.3,-115.267,5.5,18,12,216.1,1,1,355,45,18,12,-90,32.1527,-115.305,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,281,"Darfield, New Zealand",7,Mw,2010,903,1635,1,-43.615,172.049,10.9,52.5,24,1260.1,1,1,85.1,82.2,52.5,24,180,-43.6193,171.7568,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,282,"Wenchuan, China-01",6,Mw,2008,525,821,0,32.549,105.48,14,9.4,7.6,71.3,1,1,59,84,9.4,7.6,178,32.5307,105.4315,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,283,"Wenchuan, China-02",6.1,Mw,2008,512,1111,0,31.26,103.669,14,12.1,7.3,88.1,1,1,204,71,12.1,7.3,-169,31.2987,103.7075,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,284,"Wenchuan, China-03",6.3,MS,2008,512,643,0,31.27,103.819,14,11.5,13,149.5,1,1,228,35,11.5,13,90,31.2618,103.9123,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,285,"Wenchuan, China-04",5.5,Mw,2008,512,2008,0,31.43,104.059,21,5.2,5.7,29.9,1,1,217,36,5.2,5.7,108,31.434,104.1029,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,286,"Wenchuan, China-05",5.6,Mw,2008,513,707,0,30.95,103.419,14,6.1,6.1,37.2,1,1,241,55,6.1,6.1,49,30.9403,103.4614,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,287,"Wenchuan, China-06",5.5,MS,2008,512,821,0,31.53,104.279,11,5.8,5.7,33.3,1,1,228,35,5.8,5.7,90,31.5229,104.3266,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,288,"Wenchuan, China-07",5.5,MS,2008,512,701,0,31.45,104.489,13,5.2,4.4,22.9,1,1,228,35,5.2,4.4,90,31.4465,104.5154,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,289,"Wenchuan, China-08",5.2,MS,2008,512,2045,0,31.729,104.55,20,4.4,3.6,15.8,1,1,228,35,4.4,3.6,90,31.7312,104.5805,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,290,"Wenchuan, China-09",5.5,Mw,2008,516,525,0,31.309,103.449,14,5.9,5.8,34.4,1,1,243,59,5.9,5.8,-156,31.31,103.4849,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,291,"Wenchuan, China-10",5.7,Mw,2008,517,1708,0,32.2,105.08,13,7.8,6.1,47.6,1,1,246,49,7.8,6.1,66,32.1968,105.1288,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,292,"Wenchuan, China-11",5.4,mb,2008,512,636,0,31.27,103.58,10,5.2,3.6,18.9,1,1,228.1,35,5.2,3.6,90,31.2742,103.606,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,293,"Wenchuan, China-12",5.3,Mw,2008,514,254,0,31.34,103.629,16,4.2,5.5,23.3,1,1,214.9,80,4.2,5.5,15,31.3496,103.6467,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,294,"Wenchuan, China-13",5.7,Mw,2008,527,837,0,32.779,105.699,15,6.5,6.7,43.9,1,1,88.9,73,6.5,6.7,-164,32.7912,105.6538,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
